#station time x y
1 570.2 28.3264933559 71.7365418459
2 570.4 52.1500087783 0.0155857218
3 570.4 36.0547250456 36.6619122909
4 570.4 54.7527167258 52.6633347156
5 570.4 54.7564873612 52.6640921375
1 570.4 28.3310079589 71.6438555894
2 570.6 52.1500329629 0.0155852432
3 570.6 36.0547250456 36.6619122909
4 570.6 54.7531000748 52.6638781055
5 570.6 54.7564873612 52.6640921375
1 570.6 28.3355426063 71.5437358014
2 570.8 52.1537527906 0.0097339517
3 570.8 36.0547250456 36.6619122909
4 570.8 54.7538032971 52.6630399538
5 570.8 54.7559406194 52.663826849
1 570.8 28.3428187184 71.4443267458
2 571.0 52.1620667546 0.0010405366
3 571.0 36.0547250456 36.6619122909
4 571.0 54.7539193486 52.6627627054
5 571.0 54.7557443365 52.663004929
1 571.0 28.3476599945 71.3441942246
2 571.2 52.1652373885 0.0196866114
3 571.2 36.0547250456 36.6619122909
4 571.2 54.7539193486 52.6627627054
5 571.2 54.7557420323 52.6627298165
1 571.2 28.3530186812 71.2440400387
2 571.4 52.1643644618 0.0326349273
3 571.4 36.0547250456 36.6619122909
4 571.4 54.7539193486 52.6627627054
5 571.4 54.7557183612 52.662730244
1 571.4 28.3543942305 71.148182515
2 571.6 52.1546533107 0.0366787725
3 571.6 36.0547250456 36.6619122909
4 571.6 54.7539453243 52.6630373905
5 571.6 54.7557183612 52.662730244
1 571.6 28.3602746783 71.0554392775
2 571.8 52.1354635176 0.0332066914
3 571.8 36.0547250456 36.6619122909
4 571.8 54.7539926669 52.6630365363
5 571.8 54.7557420323 52.6627298165
1 571.8 28.3682855261 70.9670112569
2 572.0 52.1099195024 0.0279349362
3 572.0 36.0547250456 36.6619122909
4 572.0 54.7539926669 52.6630365363
5 572.0 54.7557206654 52.6630053558
1 572.0 28.3766783956 70.8788425983
2 572.2 52.086628257 0.0256454701
3 572.2 36.0547250456 36.6619122909
4 572.2 54.7539689958 52.6630369637
5 572.2 54.7556969944 52.6630057833
1 572.2 28.3875968229 70.7911186493
2 572.4 52.0625895771 0.0288738982
3 572.4 36.0547250456 36.6619122909
4 572.4 54.7539453243 52.6630373905
5 572.4 54.7557206654 52.6630053558
1 572.4 28.4010967096 70.7054888699
2 572.6 52.0361235103 0.0338018636
3 572.6 36.0547250456 36.6619122909
4 572.6 54.7539689958 52.6630369637
5 572.6 54.7557206654 52.6630053558
1 572.6 28.4176363388 70.6189060062
2 572.8 52.0105980525 0.0488915008
3 572.8 36.0547250456 36.6619122909
4 572.8 54.7539453243 52.6630373905
5 572.8 54.7557206654 52.6630053558
1 572.8 28.434549094 70.5345101196
2 573.0 51.985979167 0.0678154588
3 573.0 36.0547250456 36.6619122909
4 573.0 54.7539453243 52.6630373905
5 573.0 54.7557206654 52.6630053558
1 573.0 28.4513349725 70.4495693199
2 573.2 51.9631197327 0.0834033023
3 573.2 36.0547250456 36.6619122909
4 573.2 54.7539453243 52.6630373905
5 573.2 54.756336117 52.6629942515
1 573.2 28.4697704228 70.3659362028
2 573.4 51.9496885947 0.0957769766
3 573.4 36.0547250456 36.6619122909
4 573.4 54.7539453243 52.6630373905
5 573.4 54.756452169 52.6627170037
1 573.4 28.4883589802 70.2828476425
2 573.6 51.9476546223 0.1007699037
3 573.6 36.0547250456 36.6619122909
4 573.6 54.7539689958 52.6630369637
5 573.6 54.7566865767 52.6624376201
1 573.6 28.5073901413 70.1994656778
2 573.8 51.9472600862 0.1051798517
3 573.8 36.0547250456 36.6619122909
4 573.8 54.7539689958 52.6630369637
5 573.8 54.7566865767 52.6624376201
1 573.8 28.5280786151 70.1165653898
2 574.0 51.9565813119 0.1217767417
3 574.0 36.0547250456 36.6619122909
4 574.0 54.7539926669 52.6630365363
5 574.0 54.7568239955 52.661884833
1 574.0 28.5487131135 70.0320161327
2 574.2 51.9731295777 0.1404306271
3 574.2 36.0547250456 36.6619122909
4 574.2 54.7539689958 52.6630369637
5 574.2 54.756968327 52.6621573828
1 574.2 28.5695745685 69.9493848662
2 574.4 51.999628506 0.1627383442
3 574.4 36.0547250456 36.6619122909
4 574.4 54.7539689958 52.6630369637
5 574.4 54.7570866832 52.6621552476
1 574.4 28.5901918651 69.8662137155
2 574.6 52.0303717529 0.1863378825
3 574.6 36.0547250456 36.6619122909
4 574.6 54.7539689958 52.6630369637
5 574.6 54.7570866832 52.6621552476
1 574.6 28.6103662888 69.7819603923
2 574.8 52.0637197636 0.2118123954
3 574.8 36.0547250456 36.6619122909
4 574.8 54.7539689958 52.6630369637
5 574.8 54.7570866832 52.6621552476
1 574.8 28.6294791233 69.6974765361
2 575.0 52.0976764707 0.2430534962
3 575.0 36.0547250456 36.6619122909
4 575.0 54.7539689958 52.6630369637
5 575.0 54.7571103547 52.6621548201
1 575.0 28.6480762636 69.6130146062
2 575.2 52.1326942813 0.2872056317
3 575.2 36.0547250456 36.6619122909
4 575.2 54.7546791321 52.6630241496
5 575.2 54.7570866832 52.6621552476
1 575.2 28.6667688739 69.5285490981
2 575.4 52.1662414766 0.3399168782
3 575.4 36.0547250456 36.6619122909
4 575.4 54.7553442305 52.6632873022
5 575.4 54.7570866832 52.6621552476
1 575.4 28.6839423762 69.4433214371
2 575.6 52.197260952 0.4072608153
3 575.6 36.0547250456 36.6619122909
4 575.6 54.7554694998 52.6641105032
5 575.6 54.7570866832 52.6621552476
1 575.6 28.7006137215 69.3600420224
2 575.8 52.2170046008 0.4847326145
3 575.8 36.0547250456 36.6619122909
4 575.8 54.7555168419 52.6641096489
5 575.8 54.7570630121 52.6621556743
1 575.8 28.7167030728 69.274584904
2 576.0 52.2236461863 0.5682408124
3 576.0 36.0547250456 36.6619122909
4 576.0 54.7555405134 52.6641092221
5 576.0 54.7570630121 52.6621556743
1 576.0 28.734787683 69.1912473336
2 576.2 52.213237266 0.6542864582
3 576.2 36.0547250456 36.6619122909
4 576.2 54.7555405134 52.6641092221
5 576.2 54.7570630121 52.6621556743
1 576.2 28.7514621457 69.1054912561
2 576.4 52.1934354489 0.7391420932
3 576.4 36.0547250456 36.6619122909
4 576.4 54.7555405134 52.6641092221
5 576.4 54.7570630121 52.6621556743
1 576.4 28.7668446953 69.019789229
2 576.6 52.1752126763 0.8272684527
3 576.6 36.0547250456 36.6619122909
4 576.6 54.7555405134 52.6641092221
5 576.6 54.7570630121 52.6621556743
1 576.6 28.7839973514 68.9342892061
2 576.8 52.1666090949 0.9226333515
3 576.8 36.0547250456 36.6619122909
4 576.8 54.7555405134 52.6641092221
